Year,Month,Station_ID,Station_Name,Water_Class,DO,BOD,TSS,pH,Temperature,Fecal_Coliform,DO_Temp_Ratio,pH_Deviation,WQI,WQI_Class
2020.0,9.0,3.0,Moroboro Dam,C,5.0,4.0,115.1,7.3,24.3,130000.0,0.205761316872428,0.2999999999999998,26675.57612857143,High Risk
2020.0,9.0,8.0,Calinog Bridge (Class A),A,5.2,2.0,106.6,8.1,24.5,79000.0,0.2122448979591837,1.0999999999999996,16226.067414285715,High Risk
2020.0,9.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,5.2,1.0,121.6,7.5,24.5,70000.0,0.2122448979591837,0.5,14377.391557142857,High Risk
2020.0,10.0,1.0,"Inland Fisheries, Leganes",C,7.6,3.0,36.0,7.3,28.8,79000.0,0.2638888888888889,0.2999999999999998,16216.141738095239,High Risk
2020.0,10.0,10.0,Alibunan Upstream (Class A),A,7.6,1.0,4.0,7.7,25.2,16790.0,0.30158730158730157,0.7000000000000002,3461.629023809524,High Risk
2020.0,10.0,2.0,Barotac Nuevo Bridge,C,6.6,4.0,39.0,7.4,28.1,7800.0,0.23487544483985762,0.40000000000000036,1631.3207619047619,High Risk
2020.0,10.0,3.0,Moroboro Dam,C,8.0,4.0,18.0,7.5,27.7,7800.0,0.2888086642599278,0.5,1626.9469285714285,High Risk
2020.0,10.0,4.0,Duenas Bridge,C,8.2,2.0,52.0,7.2,27.8,9300.0,0.29496402877697836,0.20000000000000018,1931.0720476190475,High Risk
2020.0,10.0,5.0,Downstream Passi II,C,6.9,5.0,44.0,7.2,26.2,70000.0,0.2633587786259542,0.20000000000000018,14374.380285714285,High Risk
2020.0,10.0,6.0,Downstream Passi I,C,7.4,6.0,45.0,7.5,26.1,79000.0,0.2835249042145594,0.5,16221.26730952381,High Risk
2020.0,10.0,7.0,Upstream Passi I,C,8.0,5.0,37.0,7.6,26.0,79000.0,0.3076923076923077,0.5999999999999996,16218.05461904762,High Risk
2020.0,10.0,8.0,Calinog Bridge (Class A),A,9.0,3.0,35.0,7.8,25.1,17000.0,0.3585657370517928,0.7999999999999998,3508.621904761905,High Risk
2020.0,10.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.2,2.0,47.0,8.1,24.7,11000.0,0.33198380566801616,1.0999999999999996,2281.830214285714,High Risk
2021.0,1.0,1.0,"Inland Fisheries, Leganes",C,7.0,5.0,44.0,8.0,29.0,6800.0,0.2413793103448276,1.0,1432.800619047619,High Risk
2021.0,1.0,10.0,Alibunan Upstream (Class A),A,7.8,4.0,159.0,8.0,27.0,17000.0,0.28888888888888886,1.0,3526.5110952380955,High Risk
2021.0,1.0,2.0,Barotac Nuevo Bridge,C,7.2,3.0,89.0,8.0,30.0,33000.0,0.24000000000000002,1.0,6801.808238095238,High Risk
2021.0,1.0,3.0,Moroboro Dam,C,6.2,4.0,20.0,8.0,29.0,33000.0,0.21379310344827587,1.0,6798.979761904761,High Risk
2021.0,1.0,4.0,Duenas Bridge,C,7.5,4.0,86.0,8.0,29.0,23000.0,0.25862068965517243,1.0,4752.726761904762,High Risk
2021.0,1.0,5.0,Downstream Passi II,C,6.5,4.0,59.0,8.0,28.0,33000.0,0.23214285714285715,1.0,6800.469428571429,High Risk
2021.0,1.0,6.0,Downstream Passi I,C,7.7,3.0,69.0,7.0,27.0,79000.0,0.2851851851851852,0.0,16214.708238095238,High Risk
2021.0,1.0,7.0,Upstream Passi I,C,7.5,4.0,64.0,8.0,26.0,79000.0,0.28846153846153844,1.0,16222.042761904762,High Risk
2021.0,1.0,8.0,Calinog Bridge (Class A),A,7.9,3.0,121.0,7.0,26.0,22000.0,0.3038461538461539,0.0,4538.168904761905,High Risk
2021.0,1.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,7.8,2.0,102.0,8.0,27.0,13000.0,0.28888888888888886,1.0,2698.491380952381,High Risk
2021.0,2.0,1.0,"Inland Fisheries, Leganes",C,7.8,3.0,89.0,8.0,27.0,79000.0,0.28888888888888886,1.0,16222.698238095238,High Risk
2021.0,2.0,10.0,Alibunan Upstream (Class A),A,8.8,2.0,236.0,8.0,25.0,49000.0,0.35200000000000004,1.0,10081.642714285716,High Risk
2021.0,2.0,2.0,Barotac Nuevo Bridge,C,8.3,5.0,135.0,8.0,27.0,33000.0,0.3074074074074074,1.0,6803.790952380952,High Risk
2021.0,2.0,3.0,Moroboro Dam,C,8.0,3.0,78.0,8.0,26.0,46000.0,0.3076923076923077,1.0,9458.592904761905,High Risk
2021.0,2.0,4.0,Duenas Bridge,C,7.9,3.0,285.0,8.0,27.0,49000.0,0.2925925925925926,1.0,10091.565238095238,High Risk
2021.0,2.0,5.0,Downstream Passi II,C,8.0,4.0,223.0,8.0,26.0,130000.0,0.3076923076923077,1.0,26683.955761904763,High Risk
2021.0,3.0,1.0,"Inland Fisheries, Leganes",C,6.8,1.0,77.0,7.0,30.0,4500.0,0.22666666666666666,0.0,951.6935238095238,High Risk
2021.0,3.0,10.0,Alibunan Upstream (Class A),A,7.4,2.0,116.0,7.0,28.0,240000.0,0.2642857142857143,0.0,49207.29771428571,High Risk
2021.0,3.0,2.0,Barotac Nuevo Bridge,C,7.2,2.0,185.0,7.0,30.0,11000.0,0.24000000000000002,0.0,2293.452380952381,High Risk
2021.0,3.0,3.0,Moroboro Dam,C,7.4,4.0,117.0,7.0,31.0,23000.0,0.23870967741935484,0.0,4751.105428571428,High Risk
2021.0,3.0,4.0,Duenas Bridge,C,7.4,4.0,182.0,7.0,31.0,23000.0,0.23870967741935484,0.0,4756.435428571428,High Risk
2021.0,3.0,5.0,Downstream Passi II,C,7.8,2.0,144.0,7.0,31.0,22000.0,0.25161290322580643,0.0,4543.853714285715,High Risk
2021.0,3.0,6.0,Downstream Passi I,C,7.4,3.0,119.0,7.0,31.0,49000.0,0.23870967741935484,0.0,10076.796571428571,High Risk
2021.0,3.0,7.0,Upstream Passi I,C,7.2,2.0,135.0,7.0,31.0,79000.0,0.23225806451612904,0.0,16223.645714285714,High Risk
2021.0,3.0,8.0,Calinog Bridge (Class A),A,7.9,1.0,167.0,7.0,28.0,23000.0,0.28214285714285714,0.0,4745.281857142857,High Risk
2021.0,3.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,7.8,1.0,287.0,7.0,28.0,240000.0,0.2785714285714286,0.0,49218.62685714286,High Risk
2021.0,4.0,1.0,"Inland Fisheries, Leganes",C,9.0,4.0,14.0,7.0,29.0,4000.0,0.3103448275862069,0.0,844.0927619047619,High Risk
2021.0,4.0,10.0,Alibunan Upstream (Class A),A,9.8,2.0,8.0,7.0,26.0,170000.0,0.37692307692307697,0.0,34848.335047619046,High Risk
2021.0,4.0,2.0,Barotac Nuevo Bridge,C,7.8,3.0,52.0,7.0,28.0,7800.0,0.2785714285714286,0.0,1625.3225714285716,High Risk
2021.0,4.0,3.0,Moroboro Dam,C,8.9,4.0,28.0,7.0,28.0,7800.0,0.3178571428571429,0.0,1622.9724285714285,High Risk
2021.0,4.0,4.0,Duenas Bridge,C,8.0,3.0,129.0,7.0,28.0,13000.0,0.2857142857142857,0.0,2696.7065714285714,High Risk
2021.0,4.0,5.0,Downstream Passi II,C,7.6,10.0,95.0,7.0,28.0,230000.0,0.2714285714285714,0.0,47171.14857142857,High Risk
2021.0,4.0,6.0,Downstream Passi I,C,8.4,4.0,41.0,7.0,27.0,45000.0,0.3111111111111111,0.0,9246.250095238096,High Risk
2021.0,4.0,7.0,Upstream Passi I,C,8.0,3.0,33.0,7.0,26.0,220000.0,0.3076923076923077,0.0,45100.9479047619,High Risk
2021.0,4.0,8.0,Calinog Bridge (Class A),A,8.8,2.0,26.0,7.0,26.0,49000.0,0.3384615384615385,0.0,10058.961047619048,High Risk
2021.0,4.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.7,2.0,32.0,7.0,26.0,23000.0,0.3346153846153846,0.0,4732.258047619048,High Risk
2021.0,5.0,1.0,"Inland Fisheries, Leganes",C,7.5,2.0,7.0,7.0,31.0,4500.0,0.24193548387096775,0.0,947.4847142857143,High Risk
2021.0,5.0,10.0,Alibunan Upstream (Class A),A,6.7,1.0,14.0,7.0,29.0,33000.0,0.2310344827586207,0.0,6785.28919047619,High Risk
2021.0,5.0,2.0,Barotac Nuevo Bridge,C,6.9,3.0,60.0,7.0,31.0,49000.0,0.22258064516129034,0.0,10072.983571428571,High Risk
2021.0,5.0,3.0,Moroboro Dam,C,5.9,3.0,18.0,7.0,31.0,23000.0,0.1903225806451613,0.0,4744.189571428571,High Risk
